observation_date,elec_price
2016-11-01,0.190
2016-12-01,0.190
2017-01-01,0.184
2017-02-01,0.184
2017-03-01,0.184
2017-04-01,0.186
2017-05-01,0.186
2017-06-01,0.178
2017-07-01,0.178
2017-08-01,0.178
2017-09-01,0.178
2017-10-01,0.187
2017-11-01,0.186
2017-12-01,0.187
2018-01-01,0.181
2018-02-01,0.181
2018-03-01,0.181
2018-04-01,0.180
2018-05-01,0.180
2018-06-01,0.178
2018-07-01,0.182
2018-08-01,0.182
2018-09-01,0.170
2018-10-01,0.184
2018-11-01,0.184
2018-12-01,0.184
2019-01-01,0.183
2019-02-01,0.183
2019-03-01,0.185
2019-04-01,0.186
2019-05-01,0.186
2019-06-01,0.189
2019-07-01,0.191
2019-08-01,0.187
2019-09-01,0.188
2019-10-01,0.190
2019-11-01,0.190
2019-12-01,0.190
2020-01-01,0.193
2020-02-01,0.193
2020-03-01,0.193
2020-04-01,0.191
2020-05-01,0.199
2020-06-01,0.198
2020-07-01,0.200
2020-08-01,0.200
2020-09-01,0.199
2020-10-01,0.208
2020-11-01,0.208
2020-12-01,0.208
2021-01-01,0.207
2021-02-01,0.219
2021-03-01,0.219
2021-04-01,0.220
2021-05-01,0.220
2021-06-01,0.218
2021-07-01,0.221
2021-08-01,0.221
2021-09-01,0.222
2021-10-01,0.239
2021-11-01,0.240
2021-12-01,0.240
2022-01-01,0.248
2022-02-01,0.248
2022-03-01,0.258
2022-04-01,0.251
2022-05-01,0.254
2022-06-01,0.249
2022-07-01,0.247
2022-08-01,0.247
2022-09-01,0.247
2022-10-01,0.260
2022-11-01,0.260
2022-12-01,0.260
2023-01-01,0.271
2023-02-01,0.271
2023-03-01,0.269
2023-04-01,0.269
2023-05-01,0.269
2023-06-01,0.273
2023-07-01,0.280
2023-08-01,0.280
2023-09-01,0.280
2023-10-01,0.287
2023-11-01,0.287
2023-12-01,0.288
2024-01-01,0.285
2024-02-01,0.285
2024-03-01,0.291
2024-04-01,0.287
2024-05-01,0.286
2024-06-01,0.277
2024-07-01,0.282
2024-08-01,0.282
2024-09-01,0.282
2024-10-01,0.286
2024-11-01,0.285
2024-12-01,0.286
